Departemen Arsitektur 18 (Decimal('2020'), 26, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0175, 0.3006, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 19 (Decimal('2020'), 27, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.014, 11.5161, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 20 (Decimal('2020'), 28, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.014, 0.3387, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 21 (Decimal('2020'), 29, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0315, 1.3548, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 22 (Decimal('2020'), 32, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0315, 0.0145, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 23 (Decimal('2020'), 33, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0245, 0.0107, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 24 (Decimal('2020'), 34, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0175, 2.7097, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 25 (Decimal('2020'), 35, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0175, 10.1613, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 26 (Decimal('2020'), 36, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0175, 0.3387, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 27 (Decimal('2020'), 38, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0175, 0.0402, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 28 (Decimal('2020'), 40, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0315, 0.6774, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 29 (Decimal('2020'), 41, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0315, 0.0, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 30 (Decimal('2020'), 42, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0315, 0.1785, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 31 (Decimal('2020'), 43, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0315, 0.0263, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 32 (Decimal('2020'), 44, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0245, 6.7742, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 33 (Decimal('2020'), 51, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0245, 0.0525, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 34 (Decimal('2020'), 53, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0245, 0.105, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 35 (Decimal('2020'), 55, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.021, 0.126, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 36 (Decimal('2020'), 56, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0175, 0.8065, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 37 (Decimal('2020'), 57, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0175, 1.05, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 38 (Decimal('2020'), 58, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0175, 0.1575, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 39 (Decimal('2020'), 65, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0245, 0.42, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 40 (Decimal('2020'), 75, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0245, 1.0, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 41 (Decimal('2020'), 76, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0245, 1.0, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 42 (Decimal('2020'), 77, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.021, 1.0, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 1 (Decimal('2020'), 1, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0331, 0.1806, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 2 (Decimal('2020'), 4, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0331, 0.84, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 3 (Decimal('2020'), 6, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0331, 0.2625, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 4 (Decimal('2020'), 7, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0331, 1.4511, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 5 (Decimal('2020'), 10, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0331, 2.625, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 6 (Decimal('2020'), 11, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0294, 3.5, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 7 (Decimal('2020'), 12, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0294, 0.0105, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 8 (Decimal('2020'), 13, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0257, 0.5419, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 9 (Decimal('2020'), 14, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0257, 0.3675, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 10 (Decimal('2020'), 18, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0257, 2.625, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 11 (Decimal('2020'), 19, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0257, 0.4975, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 12 (Decimal('2020'), 20, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0221, 0.651, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
